strategy,param_value,mean_jobs_completed,std_jobs_completed,mean_jobs_dropped,std_jobs_dropped,mean_jobs_arrived,std_jobs_arrived,mean_inactive_fraction,std_inactive_fraction,mean_battery,std_battery,mean_throughput,std_throughput
S1,0.3,42.207,1.293889871666055,46.907,7.567849826734142,89.949,7.817441972921833,0.5879211111111111,0.04504418076719405,31.681866036962695,3.0365924328215663,0.4725189645871443,0.04058423883110915
S2,0.3,46.306,1.034583974358776,43.148,7.5859143153610695,89.949,7.817441972921833,0.5508277777777778,0.05246729698666036,33.58077009881746,3.356742959985348,0.518531340513093,0.04473359231000183
S3,0.3,46.465,1.1003522163380233,43.3,7.4629752779973755,89.949,7.817441972921833,0.5753055555555554,0.05273912473465764,31.28952795292718,3.177389081811595,0.5201678790375912,0.043235864742069405
D1,0.3,46.31,1.0079186475108,43.121,7.5687752642022605,89.949,7.817441972921833,0.55203,0.05271784984796509,33.59543065368734,3.3708394507734827,0.5185828172744676,0.04469282999932442
D2,0.3,46.31,1.0079186475108,43.121,7.5687752642022605,89.949,7.817441972921833,0.55203,0.05271784984796509,33.59543065368734,3.3708394507734827,0.5185828172744676,0.04469282999932442
D3,0.3,45.548,0.7264268717496621,44.049,7.550006556288544,89.949,7.817441972921833,0.54907,0.0535986506072082,31.717912658982833,3.1846301928062375,0.510069105892755,0.04352460762086947
D4,0.3,45.905,0.8899297725101682,43.558,7.648701589158777,89.949,7.817441972921833,0.5337144444444445,0.05486678987205464,33.45668804290316,3.42687689921479,0.5141389678202082,0.045157875837429064
S1,0.35,44.436,0.7251923882667275,45.319,7.7111113984950315,89.949,7.817441972921833,0.5768655555555555,0.04792224874409964,31.537729087208614,3.1042666547640456,0.4976453718020166,0.042864617103344944
S2,0.35,50.28,1.2998461447417538,39.025,7.517870376642577,89.949,7.817441972921833,0.5272355555555555,0.053541029104144655,34.371291531553766,3.473998648544498,0.562951034318526,0.04822397817874379
S3,0.35,48.737,1.4791318399655928,40.91,7.1997152721479205,89.949,7.817441972921833,0.5636377777777777,0.050950144161949706,32.05936281299703,3.354088397668219,0.5453392703909292,0.04324120357936382
D1,0.35,50.315,1.282097890178437,39.015,7.483901054931178,89.949,7.817441972921833,0.5280188888888888,0.05413982709408831,34.37665273734403,3.4823352765187843,0.5632639422413355,0.04714593464085739
D2,0.35,50.315,1.282097890178437,39.015,7.483901054931178,89.949,7.817441972921833,0.5280188888888888,0.05413982709408831,34.37665273734403,3.4823352765187843,0.5632639422413355,0.04714593464085739
D3,0.35,47.185,1.3246792064496218,42.034,7.201863925401534,89.949,7.817441972921833,0.5344611111111109,0.04957845478645282,32.64928309421041,3.324152405145287,0.5280154509098056,0.04202748499425483
D4,0.35,50.215,1.3041376461094893,39.062,7.5753650737109695,89.949,7.817441972921833,0.5073577777777778,0.055481963658093665,34.35037622182374,3.489353543826736,0.5622279292343798,0.04822268275392792
S1,0.39999999999999997,45.062,0.6246246873123092,44.647,7.764044757727766,89.949,7.817441972921833,0.5710955555555555,0.0502839566982807,31.714409590019073,3.1413424344535397,0.5047167896996283,0.04394726748678358
S2,0.39999999999999997,52.839,0.9649243493663117,36.839,7.584792614172124,89.949,7.817441972921833,0.5134977777777777,0.05693331702662617,34.63877425082038,3.573373285496314,0.5916652356160155,0.05020320932540622
S3,0.39999999999999997,51.497,1.3168109203678406,38.171,7.3046395530511985,89.949,7.817441972921833,0.5511477777777777,0.05337065720615856,32.49448759985549,3.513602174755907,0.576319099898565,0.0460688777812595
D1,0.39999999999999997,52.842,0.9680061983272629,36.813,7.6729414828995015,89.949,7.817441972921833,0.5149866666666666,0.0570665829005962,34.642017170978505,3.586128797282526,0.5917490187451182,0.05079133891118363
D2,0.39999999999999997,52.842,0.9680061983272629,36.813,7.6729414828995015,89.949,7.817441972921833,0.5149866666666666,0.0570665829005962,34.642017170978505,3.586128797282526,0.5917490187451182,0.05079133891118363
D3,0.39999999999999997,49.785,1.5155114648197154,39.259,7.191517155649425,89.949,7.817441972921833,0.5149733333333334,0.05016249427708679,33.3549230404785,3.4999147055892403,0.557025141245528,0.04373247723073162
