strategy,param_value,mean_jobs_completed,std_jobs_completed,mean_jobs_dropped,std_jobs_dropped,mean_jobs_arrived,std_jobs_arrived,mean_inactive_fraction,std_inactive_fraction,mean_battery,std_battery,mean_throughput,std_throughput
D1,0.2,57.595,5.821939109952971,1.19,1.9167420275039624,59.912,6.805016972792941,0.0889111111111111,0.05620412093322467,65.08168111111112,6.761963943093203,0.9630028218688629,0.029742244973590536
D2,0.2,57.595,5.821939109952971,1.19,1.9167420275039624,59.912,6.805016972792941,0.0889111111111111,0.05620412093322467,65.08168111111112,6.761963943093203,0.9630028218688629,0.029742244973590536
D3,0.2,56.794,5.253528718870774,1.983,2.611266167972924,59.912,6.805016972792941,0.11232666666666666,0.06340459114116088,61.81122222222222,6.991347305998067,0.9507447814125091,0.038345314843546106
D4,0.2,57.707,5.880403982720915,1.075,1.8950923460348839,59.912,6.805016972792941,0.05649,0.05011908927620835,65.84583777777777,6.8748987716438865,0.9647834391058254,0.02940724101978526
S1,0.30000000000000004,62.095,1.3718509394245428,26.988,7.384162511754464,89.949,7.817441972921833,0.4055755555555555,0.0629388854660114,38.34030888888889,4.325139035903504,0.6950087672776751,0.055634322407956655
S2,0.30000000000000004,71.411,2.1573314534396424,17.564,6.92025317455944,89.949,7.817441972921833,0.3338444444444444,0.07623788630754377,43.71917666666667,5.2275939320511995,0.7987967102366362,0.05971201870464188
S3,0.30000000000000004,69.845,1.8721578459093668,19.768,7.029237227466434,89.949,7.817441972921833,0.40792999999999996,0.0777579516873823,40.04019333333333,5.028960657872031,0.7814850585945408,0.06025070741524933
D1,0.30000000000000004,71.398,2.139531724466828,17.594,6.955369436629518,89.949,7.817441972921833,0.3339088888888889,0.07749519838570323,43.751310000000004,5.292067588306922,0.7986840646970906,0.0600223552900224
D2,0.30000000000000004,71.398,2.139531724466828,17.594,6.955369436629518,89.949,7.817441972921833,0.3339088888888889,0.07749519838570323,43.751310000000004,5.292067588306922,0.7986840646970906,0.0600223552900224
D3,0.30000000000000004,67.674,1.8904295808096105,21.196,7.308733406001344,89.949,7.817441972921833,0.3553377777777777,0.07323867277691105,41.1845,5.066657115183492,0.7573321658426058,0.06040590635287853
D4,0.30000000000000004,71.574,2.084831887707016,17.405,6.979038257525173,89.949,7.817441972921833,0.30147444444444443,0.08026859286940667,43.93138333333333,5.392436994712543,0.8006820312032259,0.06028155053533211
S1,0.4,63.399,0.9283312986213489,55.601,8.178618404107139,119.858,8.494459135224561,0.5403288888888889,0.0401369320399585,30.289602222222225,2.694430218023382,0.5314260882514519,0.03578444394950528
S2,0.4,73.361,1.3201056775879723,45.368,8.283995171413368,119.858,8.494459135224561,0.5085744444444444,0.04927542786580371,33.308758888888896,3.1345579689770897,0.6150294077120496,0.04339330566147408
S3,0.4,71.753,1.1251626549081692,47.806,8.300744785861086,119.858,8.494459135224561,0.5786222222222221,0.05096176732016917,30.29325111111111,3.033029223771484,0.6015216428504896,0.041708816155324666
D1,0.4,73.317,1.264322348137531,45.371,8.315849866369643,119.858,8.494459135224561,0.509781111111111,0.05047720657832223,33.319653333333335,3.166805626708574,0.6146751694939849,0.04341765670334399
D2,0.4,73.317,1.264322348137531,45.371,8.315849866369643,119.858,8.494459135224561,0.509781111111111,0.05047720657832223,33.319653333333335,3.166805626708574,0.6146751694939849,0.04341765670334399
D3,0.4,69.324,1.3449996282527368,49.57,8.300307223229753,119.858,8.494459135224561,0.51154,0.04642446412330252,31.547422222222224,3.0227579066920223,0.5811081632715593,0.040097415641434514
D4,0.4,73.32,1.2536347155371856,45.359,8.357399057122976,119.858,8.494459135224561,0.48954777777777775,0.05237256551400283,33.29897222222222,3.190624143317378,0.6147345883868015,0.04391899559715357
S1,0.5,64.409,1.117908314666279,83.963,8.376134609711093,149.674,8.743438911549621,0.6145266666666667,0.0296209494600288,26.132851111111115,1.9058496402949383,0.43168338562631975,0.0243385729852922
S2,0.5,74.03,1.2235603785674003,74.192,8.56429424996596,149.674,8.743438911549621,0.6053722222222222,0.03632955765295332,28.07456111111111,2.175018165377527,0.49624541158444985,0.029257940201871706
S3,0.5,72.534,1.0024190740403935,76.851,8.597371633237683,149.674,8.743438911549621,0.6725088888888888,0.036196095485494864,25.386214444444445,2.077514916037731,0.4862068772845016,0.02816093043069639
